sample,session,goal,horizon,mean_source_distance,mean_neighbor_displacement_cosine,D2_cosine
117,25,turn_on_lightbulb,2,4.271069049835205,0.2071877270936966,0.5720314979553223
118,25,turn_off_lightbulb,2,4.295169830322266,0.5662416219711304,0.8247716426849365
119,25,lift_red_block_table,2,4.3461503982543945,0.17378616333007812,0.5616070032119751
120,25,lift_blue_block_slider,2,4.021613121032715,0.29202383756637573,0.61952805519104
121,25,turn_on_lightbulb,2,4.255890369415283,0.383590966463089,0.8133604526519775
122,29,turn_off_lightbulb,2,4.136916637420654,0.46665939688682556,0.6933391690254211
123,29,place_in_slider,2,3.6060378551483154,0.6219974756240845,0.8611090183258057
124,29,turn_on_lightbulb,2,2.9275927543640137,0.34865227341651917,0.4945296049118042
125,29,lift_red_block_table,2,4.068875312805176,0.3253067135810852,0.8617745637893677
126,29,place_in_slider,2,3.2272133827209473,0.2994115352630615,0.779438853263855
127,29,lift_blue_block_slider,2,3.535512924194336,0.30195528268814087,0.6467166543006897
128,29,place_in_slider,2,3.609973192214966,0.48498374223709106,0.6690459251403809
129,29,push_pink_block_right,2,3.291508913040161,0.4517216086387634,0.7767095565795898
130,29,place_in_slider,2,3.8796424865722656,0.5817921161651611,0.8625951409339905
131,29,lift_red_block_table,2,5.051883697509766,0.25410184264183044,0.6320325136184692
132,29,lift_blue_block_slider,2,4.364034175872803,0.30520421266555786,0.7599987983703613
133,29,turn_on_lightbulb,2,4.460686683654785,0.30762773752212524,0.7930164337158203
134,29,push_pink_block_right,2,6.068255424499512,-0.06699971109628677,0.07224494963884354
135,29,lift_blue_block_slider,2,3.988635301589966,0.405470073223114,0.7504194378852844
136,29,turn_off_lightbulb,2,3.595397472381592,0.5224078297615051,0.7857224345207214
137,29,lift_red_block_table,2,4.228980541229248,0.44935423135757446,0.7447990775108337
138,29,turn_on_lightbulb,2,2.9669301509857178,0.3686310052871704,0.5495592355728149
0,3,turn_off_lightbulb,4,3.5335495471954346,0.5220666527748108,0.8084986209869385
1,3,lift_red_block_table,4,3.9745750427246094,0.1269775778055191,0.4446677565574646
2,3,lift_blue_block_slider,4,4.296760559082031,0.40680408477783203,0.7452743053436279
3,3,push_pink_block_right,4,5.724740505218506,0.23660890758037567,0.6250627636909485
4,3,turn_on_lightbulb,4,7.5287299156188965,0.23354335129261017,0.7188853621482849
5,3,lift_red_block_table,4,4.851327896118164,0.2808370292186737,0.7085820436477661
6,3,turn_on_lightbulb,4,4.021000385284424,0.32351237535476685,0.7734515070915222
7,3,lift_red_block_table,4,4.360657691955566,0.15330441296100616,0.5000012516975403
8,3,place_in_slider,4,3.8094284534454346,0.53477942943573,0.8236518502235413
9,3,turn_on_lightbulb,4,4.511115550994873,0.49426135420799255,0.9444574117660522
10,3,lift_red_block_table,4,4.530976295471191,0.30146878957748413,0.7713840007781982
11,3,place_in_slider,4,3.5054752826690674,0.5682355165481567,0.7988594174385071
12,3,turn_on_lightbulb,4,4.430495738983154,0.42249971628189087,0.8113924264907837
13,3,turn_off_lightbulb,4,4.0191826820373535,0.5172899961471558,0.785911500453949
14,3,lift_blue_block_slider,4,5.2122368812561035,0.3659619987010956,0.7251067161560059
15,3,lift_red_block_table,4,5.022512435913086,0.031204592436552048,0.1622728854417801
16,3,turn_off_lightbulb,4,5.4574432373046875,0.4694821834564209,0.8043735027313232
17,3,turn_on_lightbulb,4,2.8783247470855713,0.1876707822084427,0.40573012828826904
18,3,lift_red_block_table,4,4.714816570281982,0.038857605308294296,0.2020360380411148
19,3,turn_off_lightbulb,4,4.498811721801758,0.40875712037086487,0.5856634974479675
20,3,place_in_slider,4,3.9565765857696533,0.46139389276504517,0.7448177933692932
21,3,turn_on_lightbulb,4,5.388446807861328,0.44257432222366333,0.892790675163269
22,3,turn_off_lightbulb,4,4.067629814147949,0.35115450620651245,0.6760761737823486
23,3,turn_on_lightbulb,4,4.0602126121521,0.3468541204929352,0.7014515995979309
