sample,session,goal,horizon,target_distance,margin,region_rank,semantic_rank,semantic_top1,semantic_cosine_margin
33,8,place_in_slider,1,3.2367568016052246,0.15017986297607422,1,1,1,0.10892589390277863
33,8,place_in_slider,2,3.6120998859405518,0.6146624088287354,1,1,1,0.09210193157196045
33,8,place_in_slider,4,5.572649955749512,-1.863356590270996,6,6,0,-0.5584754347801208
34,8,turn_off_lightbulb,0,4.937717437744141,-1.55259370803833,5,5,0,-0.23115083575248718
34,8,turn_off_lightbulb,1,4.610975742340088,-0.8377830982208252,2,3,0,-0.22115951776504517
34,8,turn_off_lightbulb,2,3.1489317417144775,0.34179043769836426,1,1,1,0.01150675117969513
34,8,turn_off_lightbulb,4,2.739501953125,0.04032444953918457,1,2,0,-0.11747986078262329
35,8,lift_blue_block_slider,0,3.8190460205078125,0.46417665481567383,1,3,0,-0.023445114493370056
35,8,lift_blue_block_slider,1,4.640862941741943,-0.8738722801208496,4,3,0,-0.13311322033405304
35,8,lift_blue_block_slider,2,4.743074893951416,-0.051844120025634766,4,4,0,-0.0247020423412323
35,8,lift_blue_block_slider,4,3.710480213165283,0.24035406112670898,1,1,1,0.18518131971359253
36,8,lift_red_block_table,0,3.9858314990997314,-0.10025334358215332,2,1,1,0.05594068765640259
36,8,lift_red_block_table,1,4.451434135437012,0.3571310043334961,1,1,1,0.0506172776222229
36,8,lift_red_block_table,2,3.6399388313293457,0.09124636650085449,1,1,1,0.03071543574333191
36,8,lift_red_block_table,4,3.5855109691619873,0.06391644477844238,1,1,1,0.18319770693778992
37,8,turn_on_lightbulb,0,5.257611274719238,-0.6377882957458496,6,1,1,0.014994949102401733
37,8,turn_on_lightbulb,1,4.4521894454956055,0.0931406021118164,1,3,0,-0.10097397863864899
37,8,turn_on_lightbulb,2,3.3129284381866455,0.03918194770812988,1,4,0,-0.07241562008857727
37,8,turn_on_lightbulb,4,2.7818593978881836,0.7355375289916992,1,2,0,-0.03143817186355591
38,8,turn_off_lightbulb,0,3.3486721515655518,-1.6274937391281128,4,4,0,-0.5647966265678406
38,8,turn_off_lightbulb,1,4.10006046295166,0.10025215148925781,1,3,0,-0.050913065671920776
38,8,turn_off_lightbulb,2,2.9413161277770996,0.35256290435791016,1,2,0,-0.022457659244537354
38,8,turn_off_lightbulb,4,2.508084297180176,0.4825155735015869,1,1,1,0.0801660418510437
39,8,lift_red_block_table,0,4.065494060516357,-0.9193763732910156,4,1,1,0.05147257447242737
39,8,lift_red_block_table,1,4.460851669311523,0.03944587707519531,1,1,1,0.08130249381065369
39,8,lift_red_block_table,2,3.3337759971618652,0.05682086944580078,1,1,1,0.027879342436790466
39,8,lift_red_block_table,4,3.1416175365448,-0.3929002285003662,2,1,1,0.02453969419002533
40,8,lift_blue_block_slider,0,6.781224250793457,-0.13271570205688477,4,2,0,-0.07272511720657349
40,8,lift_blue_block_slider,1,4.76409387588501,-0.4428563117980957,4,2,0,-0.052274227142333984
40,8,lift_blue_block_slider,2,3.1899850368499756,-0.04162311553955078,2,1,1,0.07518237829208374
40,8,lift_blue_block_slider,4,3.3909084796905518,0.6155426502227783,1,2,0,-0.03227412700653076
41,8,lift_red_block_table,0,4.281379699707031,-2.077766180038452,5,4,0,-0.3134702444076538
41,8,lift_red_block_table,1,4.410397529602051,0.038236141204833984,1,2,0,-0.014589890837669373
41,8,lift_red_block_table,2,3.2833855152130127,0.362548828125,1,1,1,0.08028316497802734
41,8,lift_red_block_table,4,3.181104898452759,-0.024187803268432617,2,1,1,0.05744516849517822
42,8,place_in_slider,0,7.630557060241699,-4.728041648864746,6,6,0,-0.87767094373703
42,8,place_in_slider,1,3.0639307498931885,0.1355440616607666,1,1,1,0.13453616201877594
42,8,place_in_slider,2,3.0643537044525146,0.15742707252502441,1,1,1,0.2603442668914795
42,8,place_in_slider,4,5.090476989746094,-1.356269121170044,6,6,0,-0.4213967025279999
43,8,lift_red_block_table,0,3.8850154876708984,-0.09510350227355957,2,1,1,0.13607102632522583
