kind,sample,session,source_goal,target_goal,horizon,cycle_full,cycle_semantic,cycle_execution,ground_truth_cycle_full,target_distance,execution_target_distance,target_rank,endpoint_error,decoded_action_mse,future_latent_mse,execution_knn_radius,local_pca_normal_distance,trajectory_jump
observed,90,14,turn_on_lightbulb,turn_on_lightbulb,4,1.991032600402832,1.8942826986312866,0.6131097674369812,0.6738142967224121,2.02299165725708,1.3503004312515259,1,0,0.02844579517841339,1.0496726036071777,1.3503004312515259,0.850939929485321,0.10177229344844818
observed,91,14,place_in_slider,place_in_slider,4,2.9349114894866943,2.720733642578125,1.1005969047546387,0.9263326525688171,4.062911033630371,2.993046760559082,1,0,0.008780932053923607,0.2920001149177551,2.993046760559082,1.4460656642913818,0.13958849012851715
observed,92,14,push_pink_block_right,push_pink_block_right,4,2.7823727130889893,2.470122814178467,1.2806603908538818,0.16395144164562225,4.2940192222595215,2.1404175758361816,3,1,0.01175779104232788,0.997128963470459,2.1404175758361816,1.2373541593551636,0.2135404646396637
observed,93,14,turn_on_lightbulb,turn_on_lightbulb,4,2.5331761837005615,2.3718671798706055,0.8895106315612793,0.3387090563774109,2.5902397632598877,1.954195261001587,1,0,0.01352588552981615,0.5516024827957153,1.954195261001587,1.422669768333435,0.187234029173851
observed,94,14,lift_red_block_table,lift_red_block_table,4,2.4228813648223877,2.002446174621582,1.3640251159667969,0.4396730959415436,3.2700564861297607,2.532663345336914,1,0,0.13116905093193054,0.795634388923645,2.532663345336914,1.3542554378509521,0.25400614738464355
observed,95,14,place_in_slider,place_in_slider,4,2.697413682937622,2.2138476371765137,1.5410772562026978,0.648067831993103,5.565846920013428,4.0031561851501465,6,1,0.06752151995897293,0.6492661833763123,4.0031561851501465,1.0087180137634277,0.09596353024244308
observed,96,14,turn_off_lightbulb,turn_off_lightbulb,4,1.597818374633789,1.5294541120529175,0.46237826347351074,0.3178810179233551,2.090022563934326,1.2269721031188965,1,0,0.006589026656001806,0.15330995619297028,1.2269721031188965,0.8085476160049438,0.1329622119665146
observed,97,14,lift_red_block_table,lift_red_block_table,4,3.7210915088653564,3.369162082672119,1.5796421766281128,0.6673688888549805,3.631563186645508,2.8834750652313232,3,1,0.065167136490345,0.6070324182510376,2.8834750652313232,2.0325143337249756,0.18195216357707977
observed,98,14,place_in_slider,place_in_slider,4,4.1249895095825195,2.1705172061920166,3.5077619552612305,1.3144623041152954,4.873320579528809,3.2036540508270264,6,1,0.04918554052710533,0.5104499459266663,3.2036540508270264,1.9790210723876953,0.1725035458803177
observed,99,14,lift_blue_block_slider,lift_blue_block_slider,4,2.2435381412506104,1.7063490152359009,1.4566525220870972,0.3749132454395294,3.0750341415405273,2.455491304397583,1,0,0.007819117046892643,0.28385651111602783,2.455491304397583,0.8722532391548157,0.1317616105079651
observed,100,14,lift_red_block_table,lift_red_block_table,4,3.300295829772949,2.8827004432678223,1.6068569421768188,0.5695699453353882,3.386056423187256,2.2844748497009277,1,0,0.03927689418196678,0.49194881319999695,2.2844748497009277,1.2617461681365967,0.20365221798419952
observed,101,24,lift_red_block_table,lift_red_block_table,4,3.3847875595092773,3.1292457580566406,1.2901962995529175,0.5694007277488708,3.318887710571289,2.133312702178955,2,1,0.05973315238952637,0.515755832195282,2.133312702178955,0.9406187534332275,0.20869939029216766
observed,102,24,place_in_slider,place_in_slider,4,3.487593650817871,3.3949594497680664,0.7984738945960999,0.5423240661621094,3.9884228706359863,2.841284990310669,1,0,0.0396219827234745,1.004848599433899,2.841284990310669,1.199038028717041,0.21416409313678741
observed,103,24,turn_off_lightbulb,turn_off_lightbulb,4,1.7512133121490479,1.4812802076339722,0.9341076612472534,0.3867730498313904,3.076730251312256,2.0738370418548584,1,0,0.037849247455596924,1.261625051498413,2.0738370418548584,0.89578777551651,0.12161979079246521
observed,104,24,lift_red_block_table,lift_red_block_table,4,3.4547650814056396,2.546630859375,2.3345389366149902,1.1326872110366821,3.9559147357940674,2.8473362922668457,3,1,0.14922557771205902,1.743434190750122,2.8473362922668457,1.4040488004684448,0.4602484107017517
observed,105,24,turn_on_lightbulb,turn_on_lightbulb,4,3.0411109924316406,2.9136199951171875,0.8713057637214661,0.7010654807090759,3.3780109882354736,2.164736270904541,1,0,0.02984180860221386,0.4678935706615448,2.164736270904541,1.8397566080093384,0.3045102655887604
observed,106,24,lift_blue_block_slider,lift_blue_block_slider,4,1.9181801080703735,1.5088016986846924,1.184454321861267,0.5706951022148132,3.013214349746704,2.2087087631225586,1,0,0.018074840307235718,0.37492474913597107,2.2087087631225586,0.9680522084236145,0.3104252219200134
observed,107,24,place_in_slider,place_in_slider,4,3.4136106967926025,2.9781901836395264,1.6682689189910889,0.6299450993537903,4.529790878295898,2.999441623687744,6,1,0.02596714161336422,0.9559246301651001,2.999441623687744,1.4061706066131592,0.28120461106300354
observed,108,24,push_pink_block_right,push_pink_block_right,4,2.436107635498047,1.981258749961853,1.417474389076233,0.2233559787273407,2.9445548057556152,2.165419101715088,1,0,0.022997627034783363,0.33023935556411743,2.165419101715088,1.8683680295944214,0.3593618869781494
